"scrubbed_species_binomial","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id"
"Chimarrhis hookeri",-3.83333,-73.41666,1989-02-11,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-9.1839,-74.14,1855-01-01,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-9.66666,-75.03333,1990-01-01,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",5.530871,-74.937715,2009-08-15,"GBIF","Universidad de Antioquia (UdeA)","Universidad de Antioquia (UdeA)","Universidad de Antioquia (UdeA)","HUA",3294
"Chimarrhis hookeri",-9.66666,-75.03333,1991-01-01,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-1.4628,-78.1869,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-1.33,-77.47,NA,"GBIF","US","US","US","Botany",4885
"Chimarrhis hookeri",-1.4628,-78.1869,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-0.69472,-75.92333,2005-08-05,"GBIF","W","W","W","Herbarium W",4913
"Chimarrhis hookeri",-11.11666,-75.5,1989-09-01,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-1.4628,-78.1869,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-9.66666,-75.03333,1991-01-01,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-1.4628,-78.1869,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-9.66666,-75.03333,1990-01-01,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-9.66666,-75.03333,1990-01-01,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-1.4628,-78.1869,NA,"GBIF","F","F","F","Botany",4382
"Chimarrhis hookeri",-0.603389,-76.464333,1997-10-10,"GBIF","MA","MA","MA","MA",4584
"Chimarrhis hookeri",-4.43361,-77.57166,1997-11-25,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-2.8333333,-76.9166667,1987-03-30,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-12.6861111,-73.2277778,2008-01-29,"MO","AMAZ, CUZ, HUT, MO, MOL, USM","AMAZ, CUZ, HUT, MO, MOL, USM","AMAZ, CUZ, HUT, MO, MOL, USM",NA,267
"Chimarrhis hookeri",-4.3,-78.71666,1991-10-24,"MO",NA,NA,NA,NA,267
"Chimarrhis hookeri",-4.3,-78.71666,1991-10-24,"MO",NA,NA,NA,NA,267
"Chimarrhis hookeri",-3.04861,-78.22805,2005-09-06,"MO","QCNE","QCNE","QCNE",NA,267
"Chimarrhis hookeri",-4.26666,-78.7,1991-10-21,"MO",NA,NA,NA,NA,267
"Chimarrhis hookeri",6.252267,-74.644333,2014-08-25,"GBIF","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","FMB",1900
"Chimarrhis hookeri",5.667611,-74.792306,2012-07-22,"GBIF","Universidad de Caldas (UCALDAS)","Universidad de Caldas (UCALDAS)","Universidad de Caldas (UCALDAS)","FAUC",2194
"Chimarrhis hookeri",5.667611,-74.792306,2012-07-22,"GBIF","Universidad de Caldas (UCALDAS)","Universidad de Caldas (UCALDAS)","Universidad de Caldas (UCALDAS)","FAUC",2194
"Chimarrhis hookeri",-0.93333,-76.21666,1998-11-30,"MO","MO, QCA, QCNE","MO, QCA, QCNE","MO, QCA, QCNE",NA,267
"Chimarrhis hookeri",8.333333,-74.55,1987-05-05,"GBIF","JBGP","JBGP","JBGP","JBGP",4508
"Chimarrhis hookeri",-10.3466666,-75.2597222,2008-04-14,"MO","HOXA, MO","HOXA, MO","HOXA, MO",NA,267
"Chimarrhis hookeri",-10.0725,-75.5505556,2006-05-29,"MO","HOXA, HUT, MO, USM","HOXA, HUT, MO, USM","HOXA, HUT, MO, USM",NA,267
"Chimarrhis hookeri",-9.83333,-75,1986-05-15,"MO","MO","MO","MO",NA,267
"Chimarrhis hookeri",-3.033333,-70,1992-06-27,"GBIF","ICN","ICN","ICN","COL",4487
"Chimarrhis hookeri",-10.3469444,-75.2591667,2008-04-10,"MO","AMAZ, HOXA, HUT, MO, MOL, USM","AMAZ, HOXA, HUT, MO, MOL, USM","AMAZ, HOXA, HUT, MO, MOL, USM",NA,267
"Chimarrhis hookeri",-10.18583,-75.57,2006-07-21,"MO","AMAZ, HUT, MO, MOL, USM","AMAZ, HUT, MO, MOL, USM","AMAZ, HUT, MO, MOL, USM",NA,267
"Chimarrhis hookeri",-10.1,-75.43333,2007-09-29,"MO","MO, USM","MO, USM","MO, USM",NA,267
"Chimarrhis hookeri",-1.96666,-77.81666,1993-09-01,"MO","MO, QCNE","MO, QCNE","MO, QCNE",NA,267
"Chimarrhis hookeri",-1.96666,-77.81666,1993-09-01,"MO","MO, QCNE","MO, QCNE","MO, QCNE",NA,267
